Median_Index,Smoothed_Voltage
24624,-8012.695312
24674,-8012.695312
24724,-8012.695312
24824,-8007.8125
24874,-8007.8125
24924,-8007.8125
24974,-8007.8125
25024,-8007.8125
25074,-8007.8125
25124,-8007.8125
25174,-8007.8125
25224,-8007.8125
25274,-8007.8125
25324,-8007.8125
25374,-8007.8125
25474,-8002.929688
25524,-8002.929688
26224,-7622.070312
26374,-7607.421875
26474,-7602.539062
26524,-7602.539062
26574,-7602.539062
26624,-7602.539062
26674,-7602.539062
26724,-7602.539062
26824,-7597.65625
26874,-7597.65625
26924,-7597.65625
26974,-7597.65625
27024,-7597.65625
27074,-7597.65625
27174,-7592.773438
27224,-7592.773438
27274,-7592.773438
27324,-7592.773438
27424,-7587.890625
27474,-7587.890625
27524,-7587.890625
27624,-7583.007812
27674,-7583.007812
27724,-7583.007812
27774,-7583.007812
27824,-7583.007812
27924,-7578.125
27974,-7578.125
28024,-7578.125
28074,-7578.125
28124,-7578.125
28174,-7578.125
28274,-7573.242188
28324,-7573.242188
28374,-7573.242188
28424,-7573.242188
28474,-7573.242188
28524,-7573.242188
28574,-7573.242188
28624,-7573.242188
28674,-7573.242188
28724,-7573.242188
28824,-7568.359375
28874,-7568.359375
28924,-7568.359375
28974,-7568.359375
29024,-7568.359375
29074,-7568.359375
29124,-7568.359375
29174,-7568.359375
29224,-7568.359375
29274,-7568.359375
29324,-7568.359375
29424,-7563.476562
29474,-7563.476562
29524,-7563.476562
29574,-7563.476562
29624,-7563.476562
29674,-7563.476562
29724,-7563.476562
29774,-7563.476562
29824,-7563.476562
29874,-7563.476562
29924,-7563.476562
29974,-7563.476562
30074,-7558.59375
30124,-7558.59375
30174,-7558.59375
30224,-7558.59375
30274,-7558.59375
30324,-7558.59375
30374,-7558.59375
30424,-7558.59375
30474,-7558.59375
30524,-7558.59375
30574,-7558.59375
30674,-7548.828125
30724,-7548.828125
30774,-7548.828125
30824,-7548.828125
30874,-7548.828125
30924,-7548.828125
30974,-7548.828125
31024,-7548.828125
31074,-7548.828125
31124,-7548.828125
31174,-7548.828125
31224,-7548.828125
31274,-7548.828125
31324,-7548.828125
31374,-7548.828125
31424,-7548.828125
31474,-7548.828125
31524,-7548.828125
31574,-7548.828125
31624,-7548.828125
31674,-7548.828125
31724,-7548.828125
31774,-7548.828125
31824,-7548.828125
31874,-7548.828125
31924,-7548.828125
31974,-7548.828125
32024,-7548.828125
32074,-7548.828125
32124,-7548.828125
32174,-7548.828125
32224,-7548.828125
32274,-7548.828125
32324,-7548.828125
32374,-7548.828125
32424,-7548.828125
32524,-7543.945312
32574,-7543.945312
32624,-7543.945312
32674,-7543.945312
32724,-7543.945312
32774,-7543.945312
32824,-7543.945312
32874,-7543.945312
32924,-7543.945312
32974,-7543.945312
33024,-7543.945312
33074,-7543.945312
33124,-7543.945312
33174,-7543.945312
33224,-7543.945312
33274,-7543.945312
33324,-7543.945312
33374,-7543.945312
33874,-7080.078125
33974,-7075.195312
34024,-7075.195312
34074,-7075.195312
34124,-7075.195312
34174,-7075.195312
34224,-7075.195312
34274,-7075.195312
34324,-7075.195312
34374,-7075.195312
34474,-7070.3125
34524,-7070.3125
34574,-7070.3125
34624,-7070.3125
34674,-7070.3125
34724,-7070.3125
34774,-7070.3125
34824,-7070.3125
34874,-7070.3125
34924,-7070.3125
34974,-7070.3125
35024,-7070.3125
35074,-7070.3125
35124,-7070.3125
35174,-7070.3125
35224,-7070.3125
35274,-7070.3125
35324,-7070.3125
35374,-7070.3125
35424,-7070.3125
35474,-7070.3125
35524,-7070.3125
35574,-7070.3125
35624,-7070.3125
35674,-7070.3125
35724,-7070.3125
35774,-7070.3125
35824,-7070.3125
35874,-7070.3125
35924,-7070.3125
35974,-7070.3125
36024,-7070.3125
36074,-7070.3125
36124,-7070.3125
36174,-7070.3125
36224,-7070.3125
36374,-7070.3125
36474,-7065.429688
36524,-7065.429688
36574,-7065.429688
36624,-7065.429688
36674,-7065.429688
36724,-7065.429688
36774,-7065.429688
36824,-7065.429688
36874,-7065.429688
36924,-7065.429688
36974,-7065.429688
37024,-7065.429688
37074,-7065.429688
37124,-7065.429688
37174,-7065.429688
37224,-7065.429688
37274,-7065.429688
37324,-7065.429688
37374,-7065.429688
37424,-7065.429688
37474,-7065.429688
37524,-7065.429688
37574,-7065.429688
37624,-7065.429688
37674,-7065.429688
37724,-7065.429688
37774,-7065.429688
37824,-7065.429688
37874,-7065.429688
37924,-7065.429688
37974,-7065.429688
38024,-7065.429688
38074,-7065.429688
38124,-7065.429688
38174,-7065.429688
38224,-7065.429688
38274,-7065.429688
38324,-7065.429688
38374,-7065.429688
38424,-7065.429688
38474,-7065.429688
38524,-7065.429688
38574,-7065.429688
38624,-7065.429688
38674,-7065.429688
38724,-7065.429688
38774,-7065.429688
38824,-7065.429688
38874,-7065.429688
38924,-7065.429688
38974,-7065.429688
39024,-7065.429688
39074,-7065.429688
39124,-7065.429688
39174,-7065.429688
39224,-7065.429688
39274,-7065.429688
39324,-7065.429688
39374,-7065.429688
39424,-7065.429688
39474,-7065.429688
39524,-7065.429688
39574,-7065.429688
39624,-7065.429688
39674,-7065.429688
39724,-7065.429688
39774,-7065.429688
39824,-7065.429688
39874,-7065.429688
39924,-7065.429688
39974,-7065.429688
40024,-7065.429688
40074,-7065.429688
40124,-7065.429688
40174,-7065.429688
40224,-7065.429688
40274,-7065.429688
40324,-7065.429688
40374,-7065.429688
40474,-7060.546875
40524,-7060.546875
40574,-7060.546875
40624,-7060.546875
40674,-7060.546875
40724,-7060.546875
40774,-7060.546875
40874,-7055.664062
41474,-6503.90625
41524,-6503.90625
41624,-6499.023438
41674,-6499.023438
41724,-6499.023438
41774,-6499.023438
41824,-6499.023438
41874,-6499.023438
41924,-6499.023438
41974,-6499.023438
42024,-6499.023438
42074,-6499.023438
42124,-6499.023438
42224,-6494.140625
42274,-6494.140625
42324,-6494.140625
42374,-6494.140625
42424,-6494.140625
42474,-6494.140625
42524,-6494.140625
42574,-6494.140625
42624,-6494.140625
42674,-6494.140625
42724,-6494.140625
42774,-6494.140625
42824,-6494.140625
42874,-6494.140625
42924,-6494.140625
42974,-6494.140625
43024,-6494.140625
43074,-6494.140625
43124,-6494.140625
43174,-6494.140625
43224,-6494.140625
43274,-6494.140625
43324,-6494.140625
43374,-6494.140625
43424,-6494.140625
43474,-6494.140625
43524,-6494.140625
43574,-6494.140625
43624,-6494.140625
43674,-6494.140625
43724,-6494.140625
43774,-6494.140625
43824,-6494.140625
43874,-6494.140625
43924,-6494.140625
43974,-6494.140625
44024,-6494.140625
44074,-6494.140625
44124,-6494.140625
44174,-6494.140625
44224,-6494.140625
44274,-6494.140625
44324,-6494.140625
44374,-6494.140625
44424,-6494.140625
44474,-6494.140625
44524,-6494.140625
44574,-6494.140625
44624,-6494.140625
44674,-6494.140625
44724,-6494.140625
44774,-6494.140625
44824,-6494.140625
44874,-6494.140625
44924,-6494.140625
44974,-6494.140625
45024,-6494.140625
45074,-6494.140625
45124,-6494.140625
45174,-6494.140625
45224,-6494.140625
45324,-6489.257812
45374,-6489.257812
45424,-6489.257812
45474,-6489.257812
45524,-6489.257812
45574,-6489.257812
45624,-6489.257812
45674,-6489.257812
45724,-6489.257812
45774,-6489.257812
45824,-6489.257812
45874,-6489.257812
45924,-6489.257812
45974,-6489.257812
46024,-6489.257812
46074,-6489.257812
46124,-6489.257812
46174,-6489.257812
46224,-6489.257812
46274,-6489.257812
46324,-6489.257812
46374,-6489.257812
46424,-6489.257812
46474,-6489.257812
46524,-6489.257812
46574,-6489.257812
46624,-6489.257812
46674,-6489.257812
46724,-6489.257812
46774,-6489.257812
46824,-6489.257812
46874,-6489.257812
46924,-6489.257812
46974,-6489.257812
47024,-6489.257812
47074,-6489.257812
47124,-6489.257812
47174,-6489.257812
47274,-6484.375
47324,-6484.375
47374,-6484.375
47424,-6484.375
47474,-6484.375
47524,-6484.375
47574,-6484.375
47624,-6484.375
47674,-6484.375
47724,-6484.375
47774,-6484.375
47824,-6484.375
47874,-6484.375
47924,-6484.375
47974,-6484.375
48024,-6484.375
48074,-6484.375
48124,-6484.375
48174,-6484.375
48224,-6484.375
48274,-6484.375
48324,-6484.375
48374,-6484.375
48424,-6484.375
48474,-6484.375
48524,-6484.375
48574,-6484.375
48624,-6484.375
48674,-6484.375
48724,-6484.375
48774,-6484.375
48824,-6484.375
48874,-6484.375
48924,-6484.375
48974,-6484.375
49024,-6484.375
49074,-6484.375
49124,-6484.375
49174,-6484.375
49224,-6484.375
49274,-6484.375
49324,-6484.375
49374,-6484.375
49424,-6484.375
49474,-6484.375
49524,-6484.375
49574,-6484.375
49624,-6484.375
49674,-6484.375
49724,-6484.375
49774,-6484.375
49824,-6484.375
49874,-6484.375
49924,-6484.375
49974,-6484.375
50024,-6484.375
50074,-6484.375
50174,-6479.492188
50224,-6479.492188
50474,-6064.453125
50524,-6064.453125
50574,-6064.453125
50624,-6064.453125
50674,-6064.453125
50724,-6064.453125
50774,-6064.453125
50824,-6064.453125
50874,-6064.453125
50924,-6064.453125
50974,-6064.453125
51024,-6064.453125
51074,-6064.453125
51124,-6064.453125
51174,-6064.453125
51224,-6064.453125
51274,-6064.453125
51324,-6064.453125
51474,-6059.570312
51524,-6059.570312
51574,-6059.570312
51624,-6059.570312
51674,-6059.570312
51724,-6059.570312
51774,-6059.570312
51824,-6059.570312
51874,-6059.570312
51924,-6059.570312
51974,-6059.570312
52074,-6064.453125
52124,-6064.453125
52174,-6064.453125
52224,-6064.453125
52274,-6064.453125
52324,-6064.453125
52374,-6064.453125
52424,-6064.453125
52474,-6064.453125
52524,-6064.453125
52574,-6064.453125
52624,-6064.453125
52674,-6064.453125
52724,-6064.453125
52774,-6064.453125
52824,-6064.453125
52874,-6064.453125
52924,-6064.453125
52974,-6064.453125
53024,-6064.453125
53074,-6064.453125
53124,-6064.453125
53174,-6064.453125
53224,-6064.453125
53274,-6064.453125
53324,-6064.453125
53374,-6064.453125
53424,-6064.453125
53474,-6064.453125
53524,-6064.453125
53574,-6064.453125
53624,-6064.453125
53674,-6064.453125
53724,-6064.453125
53774,-6064.453125
53824,-6064.453125
